fid,Site,Nom,Pixel,Groupe,Lat (N),Long (E),ID Point,date_fev,date_avr,date_sep,biomass_fev,biomass_avr,biomass_sep
"1","16",Ikszman,"1","1",15.60483,6.38616,16_1_1,2023-02-16,2023-05-02,2023-10-18,7.6,7.6,11.4
"2","16",Ikszman,"1","2",15.60029,6.38698,16_1_2,2023-02-16,2023-05-02,2023-10-18,5,5,26.8
"3","16",Ikszman,"2","1",15.59575,6.38772,16_2_1,2023-02-16,2023-05-02,2023-10-18,5.6,5.6,13.6
"4","16",Ikszman,"2","2",15.59111,6.38769,16_2_2,2023-02-16,2023-05-02,2023-10-18,5.4,5.4,42
"5","16",Ikszman,"3","1",15.58465,6.38763,16_3_1,2023-02-16,2023-05-02,2023-10-18,11.6,11.6,35
"6","16",Ikszman,"3","2",15.58251,6.38546,16_3_2,2023-02-16,2023-05-02,2023-10-18,6,6,32.4
"7","16",Ikszman,"4","1",15.58154,6.3818,16_4_1,2023-02-16,2023-05-02,2023-10-18,5.8,5.8,57
"8","16",Ikszman,"4","2",15.58305,6.37758,16_4_2,2023-02-16,2023-05-02,2023-10-18,27,27,40.6
"9","16",Ikszman,"5","1",15.58459,6.37315,16_5_1,2023-02-16,2023-05-02,2023-10-18,1.4,1.4,26
"10","16",Ikszman,"5","2",15.58747,6.37069,16_5_2,2023-02-16,2023-05-02,2023-10-18,0.4,0.4,13
"11","16",Ikszman,"6","1",15.60055,6.36685,16_6_1,2023-02-16,2023-05-02,2023-10-18,0,0,39
"12","16",Ikszman,"6","2",15.6045,6.36525,16_6_2,2023-02-16,2023-05-02,2023-10-18,1,1,51
"13","17",Ibctn/Azol,"1","1",15.40064,5.8798,17_1_1,2023-02-14,2023-05-01,2023-10-19,11.6,8,128
"14","17",Ibctn/Azol,"1","2",15.39338,5.86601,17_1_2,2023-02-14,2023-05-01,2023-10-19,10.4,7.6,134
"15","17",Ibctn/Azol,"2","1",15.39079,5.877443,17_2_1,2023-02-14,2023-05-01,2023-10-19,11.2,5.2,136
